"Date","Price (Open)","Price (High)","Price (Low)","Price (Close)","Real Volume","Circulating Marketcap"
"2019-06-03","8738.064733872485","8744.378044148772","8047.084308819894","8109.134824663058","2522140425.08866","154921835644.13977"
"2019-06-02","8551.471943450992","8837.256583989205","8528.874483180518","8730.740044168078","1770037069.7101693","151700791189.81418"
"2019-06-01","8558.368501441264","8620.78003016805","8430.096768142808","8546.30399392179","1764020500.3167136","151845552991.047"
"2019-05-31","8278.35111553653","8596.18344187019","8109.6837294837105","8566.133028818755","2417313540.595781","146904319714.52234"
"2019-05-30","8668.903026481348","9088.984364603355","7998.361778071984","8275.038464256106","3152490689.805376","153750153552.89804"
"2019-05-29","8725.15381797179","8766.382369880637","8423.593676586444","8661.767791796732","2104134974.1930127","154817508337.69495"
"2019-05-28","8764.607591834294","8834.409176859725","8527.081759757835","8737.853237579584","1988734882.1612198","155554218709.6872"
"2019-05-27","8717.544110560275","8940.18158896034","8619.034403909998","8775.729971029117","2678354979.000103","154471640715.89832"
"2019-05-26","8067.6497848525605","8791.360056122872","7882.968152131808","8707.57514420282","2563337055.2467313","142849538176.59064"
"2019-05-25","8002.994641650236","8140.607069699251","7933.010954159785","8062.518364368463","1512659541.3826118","141884159016.26352"
"2019-05-24","7878.941006847437","8176.285987894746","7785.752821900191","7995.254267616597","2313480460.595394","139669554551.8784"
"2019-05-23","7631.701544311192","7974.638935041949","7473.378296135029","7877.066225001757","2232297441.776983","135265963745.6138"
"2019-05-22","7928.155595591811","8033.566406116226","7499.081431543475","7637.511570956528","2263616141.9228616","140684788894.83243"
"2019-05-21","7993.780010888633","8099.939640437634","7784.198027525813","7941.1704581079985","2232352862.380603","141473000159.36212"
"2019-05-20","8192.275747700773","8202.687350893917","7579.856198048629","7990.515634864794","2971063844.576255","145121016808.023"
"2019-05-19","7275.781739644899","8308.447058768095","7260.594993105143","8197.574562751091","3142951263.339657","128829474423.32454"
"2019-05-18","7394.447331107994","7496.602014956014","7202.318085781388","7271.5379314297925","1804757590.7786593","130948040630.358"
"2019-05-17","7872.388720567241","7929.444667330051","6858.808271526674","7369.133818751109","3919633855.4158015","139348892716.6918"
"2019-05-16","8193.853045851876","8364.500173988361","7679.925294353212","7870.585927823421","3015163945.360412","144751522450.25064"
"2019-05-15","7991.474886420691","8284.755121686814","7840.830854030234","8199.046048519536","2858843571.179836","140998586824.51678"
"2019-05-14","7818.125448524067","8346.049147324366","7621.7805697886515","7979.211189138515","3775125292.3674703","138128183144.87692"
"2019-05-13","6978.987770382176","8146.926446598665","6867.75849694805","7814.926333231225","3796046669.3261065","123596304288.99707"
"2019-05-12","7224.958482917408","7562.748941545647","6772.5889086213965","6976.441431269875","3884152975.333507","127806319419.26167"
